failure_type,events,recovered,oracle,regret,action_match
BANK_TECHNICAL_ERROR,112,523887.74,791028.7,267140.96,0.32142857142857145
EXPIRED_PAYMENT_METHOD,71,186456.84,285920.17,99463.33,0.3380281690140845
INSUFFICIENT_BALANCE,160,318392.66000000003,1182666.7,864274.04,0.25625
ISSUER_DECLINE,149,442871.27,756694.54,313823.27,0.348993288590604
NETWORK_ERROR,76,199494.57,390749.48,191254.91,0.09210526315789473
NONE,489,2560971.8,3428712.56,867740.76,0.12474437627811862
PAYMENT_LIMIT,78,339982.64,446471.73,106489.09,0.41025641025641024
TIMEOUT,154,646586.8200000001,1032716.8200000001,386130.0,0.2857142857142857
