chosen_action,events,success_rate,revenue_recovered,oracle_revenue,regret,action_match,avg_amount
ALTERNATIVE_PAYMENT,806,0.47022332506203474,2378070.11,4341788.04,1963717.93,0.3052109181141439,6856.3783250620345
HUMAN_ESCALATION,3,0.6666666666666666,96712.08,96712.08,0.0,0.3333333333333333,46108.90666666667
RECOVERY_REMINDER,477,0.6834381551362684,2729109.25,3861707.68,1132598.43,0.09853249475890985,8641.901509433963
RETRY_LATER,3,1.0,14752.900000000001,14752.900000000001,0.0,1.0,4917.633333333334
