failure_type,events,v2_recovered,oracle_recovered,regret,action_match_rate
TIMEOUT,1517,788336.58,10001633.37,9213296.790000001,0.05009887936717205
BANK_TECHNICAL_ERROR,1127,464432.34,7240245.76,6775813.42,0.048802129547471165
INSUFFICIENT_BALANCE,1486,603439.39,6836776.34,6233336.95,0.0423956931359354
ISSUER_DECLINE,1290,698777.7999999999,6123523.42,5424745.62,0.05581395348837209
NETWORK_ERROR,751,332852.08999999997,4580620.51,4247768.42,0.0492676431424767
PAYMENT_LIMIT,735,277889.12,4160359.62,3882470.5,0.04897959183673469
EXPIRED_PAYMENT_METHOD,738,363641.43,4033921.37,3670279.94,0.05420054200542006
